Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R;CCI;ATR;UO;;;;;;;
1;20100624;1086.5;1070.5;1091;1066.5;-1.5600;-0.015632184;-45.75;1092.941426;1100.37092;-7.429493804;-9.865715016;2.436221212;-1.09711E-06;5.43076E-07;-2.62972E-06;50.39386746;50.48460914;50.11147686;0.244647173;0.298801115;0.259353275;47.2765552;-66.85552408;-56.34617483;24.95775098;39.97021489;;;;;;;
0;20100625;1070.25;1074.75;1079.5;1062.75;0.4000;0.003970107;-44.08;1090.142745;1098.473074;-8.330328833;-9.558637779;1.228308947;-1.19557E-06;-1.01691E-06;-2.1515E-06;50.33923652;50.29067365;50.17192443;0.184460051;0;0.337237164;46.23630617;-62.03966006;-66.38628366;24.37148305;41.96820709;;;;;;;
0;20100628;1074.25;1071;1079.75;1066.5;-0.3500;-0.003489184;-39.5;1087.197708;1096.438032;-9.240324039;-9.494975031;0.254650992;-1.63269E-06;-6.5333E-07;-1.68915E-06;50.48931691;50.43986483;50.26447466;0.349804219;0.245233429;0.456483843;45.45893924;-74.76038339;-59.93080432;23.57709141;38.09679243;;;;;;;
0;20100629;1070.5;1035.25;1074.75;1030.25;-3.3400;-0.033380019;-55.25;1079.205753;1091.905585;-12.69983226;-10.13594648;-2.563885783;-6.95073E-06;-1.44502E-06;-2.80099E-06;50.65069485;50.5180385;50.40811438;0.527594953;0.373731638;0.641556971;44.73709852;-94.96221662;-144.505921;25.07158488;30.91191516;;;;;;;
0;20100630;1035.25;1026.5;1044.5;1023;-0.8500;-0.008452065;-61;1071.097175;1087.060727;-15.96355144;-11.30146747;-4.66208397;-7.87711E-06;-3.1101E-06;-2.64852E-06;50.75974837;50.74078677;50.54236145;0.647739651;0.739874758;0.814528095;44.06681785;-96.71361502;-167.2363537;24.81647167;30.29798607;;;;;;;
0;20100701;1024.5;1021.75;1029.75;1006;-0.4600;-0.004627375;-48.75;1063.505302;1082.222895;-18.71759294;-12.78469256;-5.93290038;-8.56429E-06;-3.65218E-06;-2.55663E-06;50.75434612;50.93255145;50.67145844;0.641787979;1;0.980863576;43.44441438;-87.24696356;-177.1065062;24.74029512;34.68719993;;;;;;;
1;20100702;1022.25;1014.25;1032.5;1010.75;-0.7300;-0.007340347;-60.5;1055.927563;1077.187866;-21.26030247;-14.47981455;-6.780487922;-9.57922E-06;-2.36578E-06;-1.63246E-06;50.37759433;51.12707172;50.75335308;0.350015637;1;1;43.15580752;-93.31983806;-150.563561;24.52670261;31.9999184;;;;;;;
1;20100706;1015;1024.25;1038.5;1002.75;0.9900;0.009859502;-46.75;1051.054092;1073.266542;-22.21245035;-16.02634171;-6.186108648;-7.79619E-06;-1.03709E-06;-1.73667E-06;49.93680579;50.72098314;50.65485208;0;0.514479295;0.883177291;42.10573286;-83.03747535;-130.1030758;25.32836671;36.81667651;;;;;;;
1;20100707;1024;1059.25;1059.75;1016.25;3.4200;0.034171345;24;1052.315001;1072.22828;-19.91327904;-16.80372917;-3.109549865;-2.61234E-06;1.03459E-07;-2.12225E-07;50.14459717;50.4685132;50.62251953;0.252498027;0.212625488;0.844830721;39.18074727;-55.42406312;-69.68837628;26.62634052;45.68578673;;;;;;;
1;20100708;1058.75;1067;1068.5;1054;0.7300;0.007316498;40.5;1054.574232;1071.841;-17.26676842;-16.89633702;-0.370431394;-1.64983E-06;6.11458E-07;-4.04526E-08;50.39208086;50.23918512;50.61332685;0.553228236;0;0.833928148;38.51081515;-49.30966469;-25.82767748;25.76017334;48.53183241;;;;;;;
